Platform,Manufacturer,Drug (Brand),Drug (Generic),Condition(s),FDA Indication,Insurance Eligible?,Medicare/Medicaid Eligible?,Income Requirement?,Monthly Cash Price,Price Notes,Eligibility Notes,Platform URL,Last Verified,Data Status
LillyDirect,Eli Lilly,Basaglar — Program A (commercially insured · Insurance Savings Card) [KwikPen 5-pack · 100u/mL],insulin glargine injection,"Diabetes (Type 1 and Type 2)","Long-acting insulin for T1D adults and children 6+; T2D adults. Biosimilar to Lantus.",Yes — commercial insurance required,No — government beneficiaries explicitly excluded,No,As low as $35/mo,"$35/mo with commercial insurance. Max savings: $3,000/fill (with coverage) · WAC + U&C (without coverage). Max annual savings: $16,000/yr. Max fills: 16/yr (with coverage) · 14/yr (without coverage). Card expires 12/31/2026. No list/WAC price disclosed.","Commercial insurance required. Age 18+. US resident or territory (PR/Guam/USVI/NMI/American Samoa). Not in AFP. Cannot combine with other discounts. CA/MA biosimilar substitution exemptions apply. KwikPen 5-pack only on LillyDirect (Tempo Pen in T&C but not selectable on page). Month = 30 days.",https://www.lilly.com/lillydirect/medicines/basaglar,Mar 2026,Confirmed
LillyDirect,Eli Lilly,Basaglar — Program B (self-pay/uninsured · Cash Savings Card) [KwikPen 5-pack · 100u/mL],insulin glargine injection,"Diabetes (Type 1 and Type 2)","Long-acting insulin for T1D adults and children 6+; T2D adults. Biosimilar to Lantus.",Yes — no insurance required,No — government beneficiaries explicitly excluded,No,As low as $35/mo,"$35/mo — no insurance required. Max savings: WAC + usual & customary pharmacy charges per fill. Up to 14 fills/year. Card expires 12/31/2026. No list/WAC price disclosed.","No insurance required. Age 18+. US resident or territory. Not in AFP. Cannot combine with other discounts. CA/MA biosimilar substitution exemptions apply. Government beneficiaries excluded. Month = 30 days.",https://www.lilly.com/lillydirect/medicines/basaglar,Mar 2026,Confirmed
LillyDirect,Eli Lilly,"Lyumjev — Program A (commercially insured · Insurance Savings Card) [U-100 KwikPen×5 · U-100 Vial · U-200 KwikPen×2]",insulin lispro-aabc injection,"Diabetes (Type 1 and Type 2)","Fast-acting insulin to control high blood sugar in adults and children with T1D and T2D",Yes — commercial insurance required,No — government beneficiaries explicitly excluded,No,As low as $35/mo,"$35/mo with commercial insurance. With coverage: max $3,000/fill · $16,000/yr · 16 fills/yr. Without coverage: max WAC + U&C · 14 fills/yr. Card expires 12/31/2026. Tempo Pen in T&C but not available on LillyDirect. Support: 1-866-923-1953.","Commercial insurance required. Age 18+. US resident or territory (PR/Guam/USVI/NMI/American Samoa). Not in AFP. Cannot combine with other discounts. CA/MA exemptions apply. U-100 KwikPen×2 disabled on LillyDirect. Month = 30 days.",https://www.lilly.com/lillydirect/medicines/lyumjev,Mar 2026,Confirmed
LillyDirect,Eli Lilly,"Lyumjev — Program B (self-pay/uninsured · Cash Savings Card) [U-100 KwikPen×5 · U-100 Vial · U-200 KwikPen×2]",insulin lispro-aabc injection,"Diabetes (Type 1 and Type 2)","Fast-acting insulin to control high blood sugar in adults and children with T1D and T2D",Yes — no insurance required,No — government beneficiaries explicitly excluded,No,As low as $35/mo,"$35/mo — no insurance required. Max savings: WAC + usual & customary per fill. Up to 14 fills/year. Card expires 12/31/2026. Support: 1-866-923-1953.","No insurance required. Valid Rx required. Age 18+. US resident or territory. Not in AFP. Cannot combine with other discounts. CA/MA exemptions apply. Government beneficiaries excluded. Month = 30 days.",https://www.lilly.com/lillydirect/medicines/lyumjev,Mar 2026,Confirmed
LillyDirect,Eli Lilly,Rezvoglar — Program A (commercially insured · Insurance Savings Card) [KwikPen 5-pack · 100u/mL],insulin glargine-aglr injection,"Diabetes (Type 1 and Type 2)","Long-acting insulin for adults and children with diabetes mellitus. Interchangeable biosimilar to Lantus. Not for diabetic ketoacidosis.",Yes — commercial insurance required,No — government beneficiaries explicitly excluded,No,As low as $35/mo,"$35/mo with commercial insurance. With coverage: max $3,000/fill · $16,000/yr · 16 fills/yr. Without coverage: max WAC + U&C · 14 fills/yr. Card expires 12/31/2026. Support: 1-866-923-1953.","Commercial insurance required. Age 18+. US resident or territory (PR/Guam/USVI/NMI/American Samoa). Not in AFP. Cannot combine with other discounts. CA/MA biosimilar substitution exemptions apply — particularly relevant as interchangeable biosimilar to Lantus. Month = 30 days.",https://www.lilly.com/lillydirect/medicines/rezvoglar,Mar 2026,Confirmed
LillyDirect,Eli Lilly,Rezvoglar — Program B (self-pay/uninsured · Cash Savings Card) [KwikPen 5-pack · 100u/mL],insulin glargine-aglr injection,"Diabetes (Type 1 and Type 2)","Long-acting insulin for adults and children with diabetes mellitus. Interchangeable biosimilar to Lantus. Not for diabetic ketoacidosis.",Yes — no insurance required,No — government beneficiaries explicitly excluded,No,As low as $35/mo,"$35/mo — no insurance required. Max savings: WAC + usual & customary per fill. Up to 14 fills/year. Card expires 12/31/2026. Support: 1-866-923-1953.","No insurance required. Valid Rx required. Age 18+. US resident or territory. Not in AFP. Cannot combine with other discounts. CA/MA biosimilar substitution exemptions apply. Government beneficiaries excluded. Month = 30 days.",https://www.lilly.com/lillydirect/medicines/rezvoglar,Mar 2026,Confirmed
NovoCare Pharmacy,Novo Nordisk,Wegovy Tablet — Cash Self-Pay [1.5mg · 4mg · 9mg · 25mg],semaglutide,Obesity,Chronic weight management (GLP-1); Wegovy 25mg tablet FDA-approved,Yes — true cash-pay (no insurance required),No — government beneficiaries excluded,No,"$149 intro · $299 standard","Intro: $149/mo for 1.5mg & 4mg (first 2 months). 4mg extended offer: $199/mo until Aug 31 2026 then $299/mo. Standard: $299/mo. List price: $1,349.02/package. No savings card activation needed. FSA/HSA accepted. Free shipping or local pharmacy pickup. 90-day supply available.","Valid Rx required. New-patient intro: must be new to Wegovy Savings Offer AND NovoCare Pharmacy. US patient. No income requirement. Operated by CoAssist Pharmacy d/b/a NovoCare Pharmacy; CenterWell Pharmacy dispensing partner. Terms: NovoCarePharmacyTerms.com",https://www.novocare.com/pharmacy.html,Mar 2026,Confirmed
NovoCare Pharmacy,Novo Nordisk,Wegovy Tablet — Commercial Insurance [1.5mg · 4mg · 9mg · 25mg],semaglutide,Obesity,Chronic weight management (GLP-1); Wegovy 25mg tablet FDA-approved,Yes — commercially insured,No — government beneficiaries excluded,No,As little as $25/mo,"$25/mo with commercial insurance. Pharmacy pickup only (no delivery for insurance path). List price: $1,349.02/package.","Valid Rx required. Commercially insured. Government beneficiaries excluded. Pickup only.",https://www.novocare.com/pharmacy.html,Mar 2026,Confirmed
NovoCare Pharmacy,Novo Nordisk,Wegovy Injection — Cash Self-Pay [0.25mg · 0.5mg · 1mg · 1.7mg · 2.4mg],semaglutide,Obesity,Chronic weight management (GLP-1); FDA-approved injection,Yes — true cash-pay (no insurance required),No — government beneficiaries excluded,No,"$199 intro · $349 standard","Intro: $199/mo for 0.25mg & 0.5mg (first 2 monthly fills; Nov 17 2025–Jun 30 2026). Standard: $349/mo. List price: $1,349.02/package. 28-day supply = 1 month. No savings card activation needed. FSA/HSA accepted. Free shipping or local pharmacy pickup.","Valid Rx required. New-patient intro: must be new to Wegovy Savings Offer AND NovoCare Pharmacy. US patient. No income requirement. Terms: WegovyTerms.com",https://www.novocare.com/pharmacy.html,Mar 2026,Confirmed
NovoCare Pharmacy,Novo Nordisk,Wegovy Injection — Commercial Insurance [0.25mg · 0.5mg · 1mg · 1.7mg · 2.4mg],semaglutide,Obesity,Chronic weight management (GLP-1); FDA-approved injection,Yes — commercially insured,No — government beneficiaries excluded,No,As little as $25/mo,"$25/mo with commercial insurance. Pharmacy pickup only. List price: $1,349.02/package.","Valid Rx required. Commercially insured. Government beneficiaries excluded. Pickup only.",https://www.novocare.com/pharmacy.html,Mar 2026,Confirmed
NovoCare Pharmacy,Novo Nordisk,Ozempic Injection — Cash Self-Pay [0.25mg · 0.5mg · 1mg · 2mg],semaglutide,Diabetes,Type 2 diabetes management (GLP-1); FDA-approved,Yes — true cash-pay (no insurance required),No — government beneficiaries excluded,No,"$199 intro · $349–$499 standard","Intro: $199/mo for 0.25mg & 0.5mg (first 2 monthly fills; Nov 17 2025–Jun 30 2026). Standard: $349/mo (0.25mg/0.5mg/1mg) · $499/mo (2mg). List price: $1,027.51/package. 28-day supply = 1 month. No savings card activation needed. FSA/HSA accepted.","Valid Rx required. New-patient intro: must be new to Ozempic Savings Offer AND NovoCare Pharmacy. US patient. No income requirement. Novo Nordisk reserves right to modify/cancel at any time.",https://www.novocare.com/pharmacy.html,Mar 2026,Confirmed
NovoCare Pharmacy,Novo Nordisk,Ozempic Injection — Commercial Insurance [0.25mg · 0.5mg · 1mg · 2mg],semaglutide,Diabetes,Type 2 diabetes management (GLP-1); FDA-approved,Yes — commercially insured,No — government beneficiaries excluded,No,As little as $25/mo,"$25/mo with commercial insurance. Max savings $100/mo. Good up to 48 months. Offer processed outside insurance — does NOT count toward deductible or insurance out-of-pocket maximum. List price: $1,027.51/package.","Valid Rx required. Commercially insured. Government beneficiaries excluded. Max $100/mo savings. 48-month limit. Does not count toward deductible or OOP max — important for patients tracking insurance spending.",https://www.novocare.com/pharmacy.html,Mar 2026,Confirmed
PfizerForAll,Pfizer,Zavzpret — Savings Card (commercially insured) [10mg nasal spray · 6 sprays/carton],zavegepant,Migraine,Acute treatment of migraine attacks with or without aura in adults,Yes — commercial insurance required; NOT valid for cash-paying patients,No — government beneficiaries explicitly excluded,No,"$0/mo (savings card) · $0 (1 bridge fill)","Copay savings card: $0/mo for eligible commercially insured. Bridge/free trial: $0 for 1 fill while benefits verified. GoodRx self-pay coupon: $594.84 (not a Pfizer cash program). No true manufacturer cash-pay program exists. Card expires 12/31/2026.","Must have private/commercial insurance. Age 18+. US and Puerto Rico only. 1 card per person. Max 1 redemption per 30 days. Cannot combine with other savings/accumulator programs. Patient must notify insurer of card use. Support: 1-866-222-4183 (Pfizer Migraine Patient Access Coordinators).",https://www.zavzpret.com/save,Mar 2026,Confirmed
PfizerForAll,Pfizer,Paxlovid,"nirmatrelvir, ritonavir",Infectious Disease,Mild-moderate COVID-19 in high-risk patients 12+,Yes — Medicare/Medicaid/uninsured,Yes,Yes — income verification required as of Mar 2025,$0 (free),"Free via USG PAP through Dec 31, 2026. Commercially insured patients use separate PAXCESS copay program.","Medicare/Medicaid/uninsured = primary eligible population. Income verification added Mar 1, 2025. Commercially insured use PAXCESS separately.",https://www.pfizerforall.com,Mar 2026,Confirmed
ELIQUIS DTP Program (BMS/Pfizer),Bristol-Myers Squibb + Pfizer,Eliquis — DTP Cash-Pay Program [2.5mg · 5mg tablets],apixaban,Cardiology,"Stroke risk reduction in AFib; DVT treatment and prevention; pulmonary embolism. No generic alternatives available.",Yes — true cash-pay (insurance NOT accepted),Not explicitly excluded but cannot submit to government insurance; must notify plan via Program Attestation Letter,No,"$346/mo (60 tabs · 30-day supply)","$346 (60 tabs/30-day) · $427 (74 tabs/30-day) · $692 (120 tabs/60-day) · $1,038 (180 tabs/90-day). Free home delivery all 50 states + PR + USVI. Insurance explicitly NOT accepted — cash-pay only. Dispensed by CoverMyMeds Patient Direct Pharmacy. Program managed by ELIQUIS 360 Support (Cencora). No expiry stated. © BMS Sep 2025.","Eligible US patients with valid Rx. Uninsured/self-paying patients. Cannot submit to any insurance plan. Cannot combine with other savings. 340B ineligible units excluded. CA/MA: cannot apply toward deductible or OOP max. Free shipping included. Payment required prior to dispensing.",https://www.eliquis.bmscustomerconnect.com,Mar 2026,Confirmed
PfizerForAll,Pfizer,Nurtec ODT,rimegepant,Migraine,Acute migraine treatment and prevention,Unknown,Unknown,Unknown,Not listed,"Not found on PfizerForAll self-pay list as of Mar 2026. May be available through Pfizer PAP separately — needs verification.",Not confirmed on PfizerForAll self-pay program.,https://www.pfizerforall.com,Mar 2026,Not Available — Verify
PfizerForAll,Pfizer,Eucrisa — GoodRx Cash Program [2% ointment · 60g · 100g],crisaborole,Dermatology,Atopic dermatitis (eczema) — PDE4 inhibitor,Yes — true cash-pay via GoodRx/Pfizer exclusive discount (no insurance required),No — cannot submit claims to government insurance; Program Attestation Letter required if government-insured,No,"$158.48 (60g) · $223.14 (100g)","GoodRx/Pfizer self-pay: $158.48 (60g · 83% off $943 retail) · $223.14 (100g · 83% off $1,357 retail). Copay card separately: $10/tube for commercially insured. Pfizer PAP: $0 if eligible. No expiry stated. Program operates outside third-party insurance.",US residents and Puerto Rico only. Valid Rx required. Cannot combine with other savings. 340B ineligible. CA/MA: cannot apply toward deductible or OOP max. Pfizer PAP available for uninsured/underinsured separately.,https://www.goodrx.com/eucrisa?utm_source=pfe,Mar 2026,Confirmed
PfizerForAll,Pfizer,"Xeljanz — GoodRx Cash + Copay Programs [5mg · 10mg tablets · 1mg/mL oral solution]",tofacitinib,Rheumatology/Autoimmune,"Rheumatoid arthritis; psoriatic arthritis; ulcerative colitis; juvenile idiopathic arthritis; ankylosing spondylitis. JAK inhibitor. Specialty drug.",Yes — GoodRx cash (no insurance); Copay card requires commercial insurance,No — government beneficiaries excluded from copay card; referred to Medicare Extra Help or Pfizer PAP,No (copay program eligibility not income-based),"$1,518.30/mo GoodRx cash · $0/mo copay card","GoodRx cash: $1,518.30 (5mg or 10mg · 30 tabs · 65% off $4,651 retail). Copay card: $0/mo (commercial insurance; annual savings cap $4,000–$15,000 depending on plan). Pfizer PAP: $0 if eligible. No expiry stated. Support: XELSOURCE 1-844-935-5269.",GoodRx cash: US + PR only. Valid Rx required. Copay card: commercial insurance required — not valid for cash-paying patients. Cannot combine with other savings. 340B ineligible. CA/MA OOP restrictions apply. High cash price — likely most useful for commercially insured via $0 copay card.,https://www.goodrx.com/xeljanz?utm_source=pfe,Mar 2026,Confirmed
PfizerForAll,Pfizer,"Xeljanz XR — GoodRx Cash + Copay Programs [11mg · 22mg extended-release tablets]",tofacitinib (extended-release),Rheumatology/Autoimmune,"Rheumatoid arthritis; psoriatic arthritis; ulcerative colitis. JAK inhibitor extended-release. Specialty drug. 22mg dose carries elevated risk warnings.",Yes — GoodRx cash (no insurance); Copay card requires commercial insurance,No — government beneficiaries excluded from copay card; referred to Medicare Extra Help or Pfizer PAP,No (copay program eligibility not income-based),"$3,203.70/mo GoodRx cash · $0/mo copay card","GoodRx cash: $3,203.70 (11mg or 22mg · 30 tabs · 63% off $8,908 retail). Copay card: $0/mo (commercial insurance; annual savings cap $4,000–$15,000). Pfizer PAP: $0 if eligible. No expiry stated. Shares XELSOURCE support with Xeljanz.",Same as Xeljanz. GoodRx cash: US + PR only. Commercial insurance required for copay card. 22mg dose carries elevated risk — prescriber/clinical context required. CA/MA OOP restrictions apply.,https://www.goodrx.com/xeljanz-xr?utm_source=pfe,Mar 2026,Confirmed
AZ Patient Direct,AstraZeneca,Airsupra [albuterol/budesonide inhalation aerosol],albuterol / budesonide,Respiratory,Asthma — rescue/maintenance inhaler (SABA/ICS combination),Yes — true cash-pay (home delivery only; no insurance required),Not publicly stated — determined during ASPN enrollment flow,Not publicly stated — assessed during enrollment,$201.00/inhaler,"Self-pay cash: $201/inhaler (home delivery only — not available at retail). Eligible patients via AZ&Me/AstraZeneca Access 360: as little as $0. HSA/FSA eligible. No prior auth required. No expiry stated. Support: 1-888-898-0545.","Valid Rx required. US patients only. Home delivery only via ASPN Pharmacies 3 LLC (Scottsdale AZ) / Medvantx fulfillment. Self-pay price not available at retail pharmacy. ASPN checks insurance eligibility and AZ support program qualification during enrollment. No income threshold published.",https://www.azpatientdirect.com/airsupra/home,Mar 2026,Confirmed
AZ Patient Direct,AstraZeneca,Bevespi Aerosphere [glycopyrrolate 9mcg / formoterol fumarate 4.8mcg inhalation aerosol],glycopyrrolate / formoterol fumarate,Respiratory,COPD — maintenance treatment (LAMA/LABA combination),Yes — true cash-pay (home delivery only; no insurance required),Not publicly stated — determined during ASPN enrollment flow,Not publicly stated — assessed during enrollment,$51.00/inhaler,"Self-pay cash: $51/inhaler (home delivery only). Eligible patients via AstraZeneca support programs: as little as $35. HSA/FSA eligible. No prior auth required. No expiry stated. Support: 1-888-898-0545.","Valid Rx required. US patients only. Home delivery only via ASPN Pharmacies / Medvantx. ASPN checks insurance eligibility and AZ support program qualification during enrollment.",https://www.azpatientdirect.com/bevespi/home,Mar 2026,Confirmed
AZ Patient Direct,AstraZeneca,Farxiga [dapagliflozin tablets — 10mg standard dose],dapagliflozin,"Diabetes, Cardiology","Type 2 diabetes; heart failure; chronic kidney disease",Yes — true cash-pay (home delivery only; no insurance required),Not publicly stated — determined during ASPN enrollment flow,Not publicly stated — assessed during enrollment,$181.59/30 tablets,"Self-pay cash: $181.59/30 tablets (home delivery only). Eligible patients via AZ&Me/AstraZeneca Access 360: as little as $0. HSA/FSA eligible. No prior auth required. No expiry stated. Support: 1-888-898-0545.","Valid Rx required. US patients only. Home delivery only via ASPN Pharmacies / Medvantx. No retail pharmacy pickup at self-pay price. ASPN checks eligibility during enrollment.",https://www.azpatientdirect.com/farxiga/home,Mar 2026,Confirmed
AZ Patient Direct,AstraZeneca,Xigduo XR [dapagliflozin/metformin HCl extended-release tablets],dapagliflozin / metformin HCl,Diabetes,Type 2 diabetes — combination oral therapy. BOXED WARNING: lactic acidosis risk.,Yes — true cash-pay (home delivery only; no insurance required),Not publicly stated — determined during ASPN enrollment flow,Not publicly stated — assessed during enrollment,$181.59,"Self-pay cash: $181.59 (home delivery only). Eligible patients: as little as $0. HSA/FSA eligible. No prior auth required. BOXED WARNING: lactic acidosis — must flag in UI. Support: 1-888-898-0545.","Valid Rx required. US patients only. Home delivery only. BOXED WARNING for lactic acidosis — prescriber/clinical context required. ASPN checks eligibility during enrollment.",https://www.azpatientdirect.com/xigduo/home,Mar 2026,Confirmed
AmgenNow,Amgen,Repatha — AmgenNow Cash + Copay [140mg/mL Sureclick×2 · Syringe×2 · 420mg cartridge],evolocumab,Cardiology,"High LDL cholesterol; reducing risk of heart attack, stroke, and coronary revascularization. PCSK9 inhibitor.",Yes — true cash-pay (no insurance required); also copay card for commercially insured,"YES — Medicare/Medicaid explicitly included WITH conditions: (1) must not seek govt insurance reimbursement; (2) costs don't count toward TrOOP/deductible; (3) must notify insurer; (4) must use AmgenNow coupon for ALL Amgen Rx for entire calendar year",No,"$239/mo cash · $25/mo copay card","Cash: $239/mo (2 sureclicks · 65% off ~$688 retail). Cartridge: $621.70. Copay card: $25/mo (1-mo supply) or $50 (3-mo supply) for commercially insured. No prior auth or step therapy required. No expiry stated.","US patient with valid Rx. No income requirement. Must agree not to use insurance for this purchase. Govt-insured: must waive govt insurance for ALL Amgen Rx for the calendar year — major caveat. Available at participating pharmacies (GoodRx). Support: AmgenSupportPlus.com.",https://www.amgennow.com,Mar 2026,Confirmed
AmgenNow,Amgen,Aimovig — AmgenNow Cash + Copay [70mg/mL Sureclick · 140mg/mL Sureclick · 2×70mg carton],erenumab-aooe,Migraine,Preventive treatment of migraine in adults. CGRP receptor antagonist.,Yes — true cash-pay (no insurance required); also copay card for commercially insured,"YES — Medicare/Medicaid explicitly included WITH conditions (same as Repatha — must waive govt insurance for ALL Amgen Rx for entire calendar year)",No,"$299/mo cash · $49/mo copay card","Cash: $299/mo (65–68% off ~$947 retail). Copay card: $49/mo for commercially insured (enrollment at aimovig.com/enrollment). No prior auth or step therapy required. No expiry stated.","US patient with valid Rx. No income requirement. Must agree not to use insurance for this purchase. Govt-insured: must waive govt insurance for ALL Amgen Rx for the calendar year — major caveat. Support: AmgenSupportPlus.com.",https://www.amgennow.com,Mar 2026,Confirmed
